"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Casa | Fora";"Casa | Fora";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Casa | Fora";"Casa | Fora"
"World";"WOR";"World Cup";"01-07-2026 13:00";"NS";"England";"";"";"Congo DR";"0.6 | 1";"1.7 | 1.8";"2.6";"2.6";"53";"32";"16";"0";"2.4";"2.6";"1.7 | 1.8";"0.6 | 1"
"World";"WOR";"World Cup";"01-07-2026 17:00";"NS";"Belgium";"";"";"Senegal";"1.3 | 1.9";"2 | 1.6";"3.4";"2.6";"60";"45";"30";"25";"2.4";"3.1";"1.8 | 1.4";"1.2 | 1.8"
"World";"WOR";"World Cup";"01-07-2026 21:00";"NS";"United States";"";"";"Bosnia and Herzegovina";"1.5 | 2.3";"1.9 | 1.4";"3.6";"2.6";"55";"50";"35";"20";"2.4";"3.4";"1.8 | 1.2";"1.5 | 2.2"
"Ecuador";"ECU";"Liga Pro";"01-07-2026 19:00";"POSTPONED";"LDU Quito";"";"";"Orense";"2.8 | 2.9";"2.1 | 2.8";"5.3";"5";"90";"75";"70";"60";"4.7";"5";"2 | 2.5";"2.8 | 2.8"
"Ecuador";"ECU";"Liga Pro";"01-07-2026 21:00";"NS";"Delfin";"";"";"Emelec";"3.7 | 1.9";"1.5 | 2.2";"4.6";"5";"90";"75";"55";"25";"4.7";"4.4";"1.5 | 2.1";"3.4 | 1.8"
"Canada";"CAN";"Premier League";"01-07-2026 14:00";"NS";"Forge";"";"";"Vancouver FC";"1.2 | 1.5";"2 | 2.8";"3.8";"4.2";"75";"60";"30";"10";"4";"3.6";"2 | 2.6";"1.1 | 1.5"
"Canada";"CAN";"Premier League";"01-07-2026 17:00";"NS";"HFX Wanderers";"";"";"Atlético Ottawa";"2.5 | 1.6";"1.7 | 1.9";"3.8";"4.2";"80";"65";"45";"5";"4";"3.6";"1.6 | 1.8";"2.4 | 1.5"
"Chile";"CHI";"Chilean Cup";"01-07-2026 19:00";"NS";"Univ. Concepción";"";"";"Ñublense";"3.1 | 2.2";"2.9 | 2.2";"5.2";"4.5";"95";"85";"65";"30";"4.3";"4.9";"2.8 | 2";"2.9 | 2.1"
"Chile";"CHI";"Chilean Cup";"01-07-2026 19:00";"NS";"Cobresal";"";"";"La Serena";"2.2 | 2.4";"1.7 | 2.3";"4.3";"4.5";"80";"70";"50";"20";"4.3";"4.2";"1.6 | 2.2";"2.2 | 2.3"
"Chile";"CHI";"Chilean Cup";"01-07-2026 19:00";"NS";"Deportes Limache";"";"";"Coquimbo Unido";"1.7 | 2.5";"1.9 | 2";"4";"4.5";"70";"55";"40";"30";"4.3";"3.6";"1.8 | 1.6";"1.4 | 2.4"
"Chile";"CHI";"Chilean Cup";"01-07-2026 21:30";"NS";"Universidad Chile";"";"";"Unión La Calera";"2.8 | 2.2";"2.6 | 2.8";"5.2";"4.5";"100";"75";"55";"40";"4.3";"4.8";"2.4 | 2.7";"2.7 | 1.9"
"Europe";"EUR";"Euro U19";"01-07-2026 14:00";"NS";"Denmark U19";"";"";"Spain U19";"1.6 | 2.1";"3 | 2.5";"4.6";"";"84";"72";"45";"39";"";"4.6";"3 | 2.5";"1.6 | 2.1"
"Europe";"EUR";"Euro U19";"01-07-2026 16:00";"NS";"Wales U19";"";"";"Germany U19";"1.4 | 2";"0.7 | 1.7";"2.9";"";"57";"26";"15";"10";"";"2.8";"0.7 | 1.7";"1.3 | 2"
"South Korea";"KOR";"WK-League";"01-07-2026 07:00";"NS";"Changnyeong W";"";"";"Boeun Sangmu W";"1.3 | 0.8";"0.6 | 0.8";"1.7";"2.5";"34";"12";"0";"0";"2.5";"1.7";"0.6 | 0.8";"1.3 | 0.8"
"South Korea";"KOR";"WK-League";"01-07-2026 07:00";"NS";"Seoul W";"";"";"Suwon FMC W";"0.7 | 1.3";"1.6 | 1.7";"2.6";"2.5";"57";"28";"14";"0";"2.5";"2.6";"1.6 | 1.7";"0.7 | 1.3"
"Paraguay";"PAR";"Copa Paraguay";"01-07-2026 13:00";"NS";"3 de Febrero FBC";"";"";"Cristóbal Colón";"";"";"";"5.2";"";"";"";"";"4.9";"";"";""
"Paraguay";"PAR";"Copa Paraguay";"01-07-2026 15:30";"NS";"Deportivo Obrero";"";"";"Deportivo Ñepytyvo";"";"";"";"";"";"";"";"";"";"";"";""
"Paraguay";"PAR";"Copa Paraguay";"01-07-2026 18:00";"NS";"Sport Colombia";"";"";"Pilcomayo";"2 | 1";"0.5 | 2.5";"3";"5.2";"50";"25";"25";"0";"4.9";"2.5";"0.5 | 1.5";"2 | 1"
"Argentina";"ARG";"Copa Santa Fe";"01-07-2026 21:00";"NS";"Gödeken";"";"";"Los Andes Alcorta";"";"";"";"";"";"";"";"";"";"";"";""
"Argentina";"ARG";"Copa Santa Fe";"01-07-2026 21:00";"NS";"Timbuense";"";"";"Sportivo Las Parejas";"";"";"";"5.5";"";"";"";"";"5";"";"";""
"Australia";"AUS";"Queensland Premier League 3 Metro";"01-07-2026 07:30";"NS";"Mt Gravatt Hawks";"";"";"Springfield United";"2.9 | 1.3";"1.7 | 1.5";"3.7";"3.7";"54";"30";"30";"23";"3.5";"3.6";"1.7 | 1.5";"2.7 | 1.2"
"Australia";"AUS";"Capital Territory";"01-07-2026 06:30";"POSTPONED";"Monaro Panthers";"";"";"Queanbeyan City";"2.2 | 2.1";"1.2 | 1.8";"3.6";"3.7";"70";"45";"35";"20";"3.5";"3.4";"1.2 | 1.8";"1.9 | 2"
"Australia";"AUS";"Northern Nsw";"01-07-2026 07:00";"NS";"Newcastle Olympic";"";"";"Charlestown Azzurri";"1.8 | 2.4";"1.2 | 2";"3.7";"3.1";"85";"45";"30";"15";"2.9";"3.6";"1.2 | 2";"1.5 | 2.4"
"Australia";"AUS";"Brisbane Reserves Premier League";"01-07-2026 05:30";"NS";"Mt Gravatt U23";"";"";"Springfield United U23";"";"";"";"0";"";"";"";"";"0";"";"";""
"Australia";"AUS";"Queensland Premier League 2";"01-07-2026 07:30";"POSTPONED";"Brisbane Knights";"";"";"Souths United";"1.6 | 1.1";"1 | 1.6";"2.7";"3.3";"38";"18";"18";"12";"3.1";"2.5";"1 | 1.5";"1.5 | 1"
"Australia";"AUS";"South Australia State League 1 Reserves";"01-07-2026 06:30";"POSTPONED";"Adelaide Raiders Res.";"";"";"South Adelaide Res.";"2.1 | 1";"1.3 | 1.4";"2.9";"3.4";"41";"28";"28";"13";"3.1";"2.6";"1.1 | 1.2";"1.9 | 1"
"Australia";"AUS";"Capital Territory NPL Youth League";"01-07-2026 04:30";"NS";"Monaro Panthers U23";"";"";"Queanbeyan City U23";"1.6 | 1";"1.3 | 1.3";"2.6";"2.7";"45";"37";"16";"8";"2.6";"2.6";"1.3 | 1.3";"1.6 | 1"
"Australia";"AUS";"Queensland NPL Youth League";"01-07-2026 06:00";"NS";"Queensland U16";"";"";"Peninsula Power U23";"";"";"";"2.9";"";"";"";"";"2.7";"";"";""
"Australia";"AUS";"Queensland NPL Youth League";"01-07-2026 06:30";"NS";"Rochedale Rovers U23";"";"";"Moreton City U23";"1.1 | 1.2";"0.6 | 1.5";"2.2";"2.9";"42";"18";"0";"0";"2.7";"2.2";"0.6 | 1.3";"1.1 | 1.2"
"Australia";"AUS";"Northern NSW Reserve League";"01-07-2026 05:00";"NS";"Newcastle Olympic Res.";"";"";"Charlestown Azzurri Res.";"1.7 | 1.2";"1.2 | 1";"2.5";"2.6";"46";"16";"16";"0";"2.4";"2.4";"1.2 | 1";"1.3 | 1.2"
"Australia";"AUS";"New South Wales Waratah Cup";"01-07-2026 06:00";"NS";"Sydney United 58 FC";"";"";"APIA Leichhardt Tigers";"1.6 | 1.4";"2.1 | 1.8";"3.4";"0";"62";"50";"33";"22";"0";"3.3";"2 | 1.8";"1.4 | 1.4"
"Bhutan";"BHU";"Bhutan Premier League";"01-07-2026 09:00";"NS";"BFF Academy U20";"";"";"RTC";"";"";"";"3.4";"";"";"";"";"3.2";"";"";""
"Belarus";"BLR";"Vysshaya Liga";"01-07-2026 14:30";"NS";"Slavia";"";"";"ML Vitebsk";"2.1 | 1.9";"2.1 | 1.8";"4";"3.5";"80";"50";"25";"15";"3.4";"3.8";"2 | 1.8";"2.1 | 1.8"
"Brazil";"BRA";"Mineiro 2";"01-07-2026 15:00";"NS";"Ipatinga";"";"";"Aymorés";"2.2 | 2.8";"1.2 | 2";"4";"5";"78";"64";"30";"20";"4.8";"3.8";"1 | 2";"2 | 2.7"
"Brazil";"BRA";"Mineiro 2";"01-07-2026 15:00";"NS";"Coimbra";"";"";"Villa Nova";"2.1 | 2.3";"2.9 | 1.9";"4.6";"5";"80";"73";"52";"26";"4.8";"4.4";"2.6 | 1.9";"2.1 | 2.3"
"Brazil";"BRA";"Mineiro 2";"01-07-2026 19:00";"NS";"Mamoré";"";"";"Guarani MG";"2.5 | 2.7";"2.3 | 2.3";"4.9";"5";"84";"84";"58";"50";"4.8";"4.8";"2.3 | 2.3";"2.3 | 2.5"
"Brazil";"BRA";"Mineiro 2";"01-07-2026 19:00";"NS";"Caldense";"";"";"CAP Patrocinense";"2.9 | 2.1";"4 | 1.9";"5.4";"5";"75";"75";"56";"44";"4.8";"5.4";"4 | 1.9";"2.8 | 2.1"
"Brazil";"BRA";"Mineiro 2";"01-07-2026 19:30";"NS";"Uberaba";"";"";"Boa";"3.3 | 2";"3.3 | 2.4";"5.6";"5";"88";"81";"64";"40";"4.8";"5.4";"3.1 | 2.4";"3.3 | 2"
"Brazil";"BRA";"Mineiro 2";"01-07-2026 20:00";"NS";"Valeriodoce";"";"";"Democrata SL";"2.9 | 2.4";"2.9 | 3";"5.6";"5";"93";"78";"54";"40";"4.8";"5.2";"2.6 | 3";"2.7 | 2.2"
"Brazil";"BRA";"Brasileiro U20";"01-07-2026 15:00";"NS";"Criciuma U20";"";"";"Gremio U20";"1.9 | 2.3";"3 | 2.1";"4.6";"5.3";"79";"68";"46";"31";"5";"4.2";"2.7 | 1.9";"1.7 | 2"
"Brazil";"BRA";"Brasileiro U20";"01-07-2026 15:00";"NS";"Botafogo U20";"";"";"Fluminense U20";"1.9 | 2.2";"2.3 | 3";"4.7";"5.3";"84";"74";"53";"37";"5";"4.4";"2.2 | 2.9";"1.6 | 2.1"
"Brazil";"BRA";"Brasileiro U20";"01-07-2026 15:00";"NS";"Palmeiras U20";"";"";"Cuiabá U20";"3.6 | 1.6";"2.5 | 2";"4.8";"5.3";"74";"56";"56";"44";"5";"4.4";"2.2 | 1.9";"3.3 | 1.4"
"Brazil";"BRA";"Brasileiro U20";"01-07-2026 15:00";"NS";"Santos U20";"";"";"Sao Paulo U20";"3.1 | 2.9";"3.2 | 3.3";"6.2";"5.3";"90";"90";"60";"50";"5";"5.8";"2.9 | 2.9";"3.1 | 2.7"
"Brazil";"BRA";"Brasileiro U20";"01-07-2026 15:00";"NS";"América Mineiro U20";"";"";"Bragantino U20";"2.3 | 2.7";"3 | 2.1";"5";"5.3";"100";"72";"62";"38";"5";"4.8";"3 | 1.9";"2.2 | 2.6"
"Brazil";"BRA";"Brasileiro U20";"01-07-2026 15:00";"NS";"Fortaleza U20";"";"";"Vasco da Gama U20";"2.9 | 2.2";"3.5 | 1.8";"5.2";"5.3";"94";"73";"63";"36";"5";"5";"3.5 | 1.6";"2.7 | 2.1"
"Brazil";"BRA";"Brasileiro U20";"01-07-2026 15:00";"NS";"Atletico-PR U20";"";"";"Vitoria U20";"2.9 | 2.5";"2.4 | 2.5";"5.2";"5.3";"94";"82";"66";"36";"5";"5";"2.4 | 2.4";"2.8 | 2.4"
"Brazil";"BRA";"Brasileiro U20";"01-07-2026 15:00";"NS";"Flamengo RJ U20";"";"";"Avaí U20";"3.1 | 2";"1.9 | 2.7";"4.8";"5.3";"85";"70";"50";"30";"5";"4.6";"1.8 | 2.5";"3 | 2"
"Brazil";"BRA";"Brasileiro U20";"01-07-2026 15:00";"NS";"Juventude U20";"";"";"Corinthians U20";"2.4 | 1.9";"3.1 | 2.4";"4.9";"5.3";"79";"68";"58";"33";"5";"4.2";"2.4 | 2.3";"2 | 1.6"
"Brazil";"BRA";"Brasileiro U20";"01-07-2026 15:00";"NS";"Bahia U20";"";"";"Cruzeiro U20";"2.6 | 2.5";"1.6 | 1.9";"4.2";"5.3";"76";"64";"36";"30";"5";"4.2";"1.6 | 1.9";"2.3 | 2.5"
"Brazil";"BRA";"Catarinense 2";"01-07-2026 15:00";"NS";"Blumenau";"";"";"Juventus SC";"3.2 | 3.1";"3 | 2.7";"6.1";"5.8";"100";"100";"68";"50";"5.6";"5.8";"2.6 | 2.7";"3 | 3.1"
"Brazil";"BRA";"Catarinense 2";"01-07-2026 15:00";"NS";"Jaraguá";"";"";"Atlético Tubarão";"3.5 | 3.2";"1.8 | 3.6";"6";"5.8";"100";"100";"75";"58";"5.6";"5.7";"1.8 | 3.3";"3.2 | 3.1"
"Brazil";"BRA";"Catarinense 2";"01-07-2026 20:00";"NS";"Nação";"";"";"Metropolitano";"2.8 | 3.1";"3.1 | 2.9";"6";"5.8";"76";"71";"59";"59";"5.6";"5.6";"3 | 2.7";"2.5 | 2.9"
"Brazil";"BRA";"Brasiliense U20";"01-07-2026 15:30";"NS";"Legião U20";"";"";"Capital DF U20";"3 | 1.2";"2.7 | 1.5";"4.2";"5.8";"58";"46";"46";"46";"5.2";"3.6";"2 | 1.5";"2.7 | 1"
"Brazil";"BRA";"Brasiliense U20";"01-07-2026 15:30";"NS";"Sobradinho U20";"";"";"CA Taguatinga U20";"";"";"";"5.8";"";"";"";"";"5.2";"";"";""
"Brazil";"BRA";"Copa Espirito Santo";"01-07-2026 20:00";"NS";"Vitória ES";"";"";"Rio Branco-VN";"1.5 | 2";"2.3 | 3";"4.4";"5.5";"72";"35";"35";"35";"5.1";"4.2";"2.3 | 2.8";"1.2 | 2"
"Brazil";"BRA";"Carioca A2";"01-07-2026 14:45";"NS";"Bonsucesso";"";"";"América RJ";"2.8 | 2.9";"2.9 | 2.7";"5.6";"5.9";"95";"79";"74";"58";"5.5";"5.1";"2.4 | 2.7";"2.4 | 2.8"
"Brazil";"BRA";"Maranhense 2";"01-07-2026 15:30";"NS";"Tupan";"";"";"Araioses";"";"";"";"0";"";"";"";"";"0";"";"";""
"Brazil";"BRA";"Maranhense 2";"01-07-2026 15:30";"NS";"São Luís";"";"";"Bacabal";"";"";"";"0";"";"";"";"";"0";"";"";""
"Brazil";"BRA";"Brasileiro U20 B";"01-07-2026 20:00";"NS";"Goias U20";"";"";"CRB U20";"2 | 2.3";"2.6 | 1.8";"4.4";"5.4";"79";"62";"45";"16";"5";"4";"2.5 | 1.7";"1.9 | 1.9"
"Brazil";"BRA";"Brasileiro U20 B";"01-07-2026 20:00";"NS";"Ceará U20";"";"";"Atletico Mineiro U20";"3.7 | 2.1";"2.7 | 2.7";"5.6";"5.4";"94";"78";"66";"44";"5";"5.2";"2.4 | 2.6";"3.4 | 2"
"Ecuador";"ECU";"Liga Pro Serie B";"01-07-2026 15:00";"NS";"Vinotinto FC";"";"";"Gualaceo";"2.2 | 2.8";"2.6 | 3.1";"5.4";"4.9";"80";"75";"65";"60";"4.6";"4.8";"2.2 | 2.9";"2 | 2.4"
"Ethiopia";"ETH";"Premier League";"01-07-2026 09:00";"NS";"Dire Dawa Kenema";"";"";"Arba Minch Kenema";"2.2 | 2.8";"2.9 | 1.6";"4.8";"4.7";"80";"75";"60";"35";"4.5";"4.6";"2.9 | 1.6";"2 | 2.7"
"Ethiopia";"ETH";"Premier League";"01-07-2026 09:00";"NS";"Mekelle Kenema";"";"";"Negele Arsi Ketema";"1.8 | 2.7";"2.6 | 2.8";"4.9";"4.7";"74";"69";"58";"43";"4.5";"4.6";"2.3 | 2.8";"1.7 | 2.6"
