"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Casa | Fora";"Casa | Fora";"Global";"Global";"Global";"Global";"Global";"Global";"Casa | Fora";"Casa | Fora";"Global";"Casa | Fora";"Casa | Fora";"Global";"Casa | Fora";"Casa | Fora";"Global";"Casa | Fora"
"World";"WOR";"World Cup";"06-07-2026 16:00";"NS";"Winner Match 83";"";"";"Winner Match 84";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"World";"WOR";"World Cup";"06-07-2026 21:00";"NS";"Winner Match 81";"";"";"Winner Match 82";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Brazil";"BRA";"Serie B";"06-07-2026 19:00";"NS";"Vila Nova";"";"";"São Bernardo";"5.3 | 2.9";"4.4 | 6.6";"9.6";"80";"60";"45";"35";"24.8";"14.5 | 9.9";"10.5 | 14.6";"7.4";"3.7 | 3.7";"3.8 | 3.7";"10.4";"60 | 40";"50 | 10";"10";"7.4 | 5.5"
"Brazil";"BRA";"Serie B";"06-07-2026 19:00";"NS";"Botafogo SP";"";"";"Avaí";"6.2 | 2.4";"4.8 | 7.5";"10.4";"70";"60";"55";"50";"24.6";"12.1 | 8.6";"11.9 | 16.6";"7.9";"3.8 | 3.1";"3.3 | 5.6";"10.4";"50 | 10";"50 | 10";"10";"12.4 | 5.6"
"Brazil";"BRA";"Copa do Brasil Feminino";"06-07-2026 15:00";"CANCELLED";"Mauaense W";"";"";"São Paulo W";"3.5 | 4";"4.3 | 2.8";"7.3";"40";"40";"30";"14";"23.2";"7.6 | 14.4";"15.4 | 9";"9.2";"3.2 | 5.3";"6 | 3.9";"8.4";"80 | 40";"50 | 40";"8";"5.1 | 8.2"
"Sweden";"SWE";"Allsvenskan";"06-07-2026 14:00";"NS";"Brommapojkarna";"";"";"GAIS";"4.5 | 5.1";"4.6 | 3.6";"8.9";"70";"60";"40";"35";"25.9";"11.6 | 14.4";"14.7 | 11.1";"8.6";"4.4 | 4.8";"4.5 | 3.5";"9.8";"40 | 40";"50 | 50";"9";"5.5 | 6.2"
"Sweden";"SWE";"Allsvenskan";"06-07-2026 14:00";"NS";"Häcken";"";"";"Djurgården";"5.6 | 6.7";"5.5 | 3.8";"10.8";"90";"80";"60";"55";"26.8";"14.1 | 15.9";"13.2 | 10.3";"10.4";"5 | 6";"5.6 | 4.1";"9.8";"30 | 50";"60 | 70";"10";"5.1 | 5.2"
"Uruguay";"URU";"Segunda Division";"06-07-2026 18:00";"NS";"Miramar Misiones";"";"";"Atenas";"3.4 | 3.3";"4.7 | 4.8";"8.1";"70";"50";"25";"10";"17";"7.8 | 9.9";"7.6 | 8.8";"6.7";"3.4 | 4.6";"2.8 | 2.6";"9.7";"90 | 20";"40 | 20";"8";"5.6 | 5.5"
"Chile";"CHI";"Chilean Cup";"06-07-2026 20:30";"NS";"Colo-Colo";"";"";"Recoleta";"5.2 | 5.4";"3.8 | 7.2";"10.8";"85";"75";"60";"45";"25";"17.6 | 10.5";"8.7 | 13.2";"9.6";"7.8 | 4";"2.2 | 5.1";"10.1";"70 | 50";"70 | 20";"11";"5.2 | 11.7"
"Chile";"CHI";"Chilean Cup";"06-07-2026 20:30";"NS";"Concepcion";"";"";"Deportes Temuco";"4.8 | 5.2";"5 | 5";"10";"85";"80";"55";"45";"27.8";"14.4 | 14.3";"12.1 | 14.8";"10.4";"4.8 | 5.6";"4.5 | 6";"10.1";"40 | 40";"60 | 40";"10";"9.9 | 10.2"
