"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Odds";"Odds";"Casa | Fora";"Casa | Fora";"Global";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Global";"Casa | Fora";"Global";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Global";"Casa | Fora";"Casa | Fora";"Global";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Global";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Global";"Global"
"World";"WOR";"World Cup";"06-07-2026 16:00";"NS";"Winner Match 83";"";"";"Winner Match 84";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" | ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"World";"WOR";"World Cup";"06-07-2026 21:00";"NS";"Winner Match 81";"";"";"Winner Match 82";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" | ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Brazil";"BRA";"Serie B";"06-07-2026 19:00";"NS";"Vila Nova";"";"";"São Bernardo";"1.87";"4.24";"70 | 77";"44 | 44";"1";"57 | 40";"1.7 | 1.6";"49 | 34";"7.4 | 5.5";"";"";"";"50 | 40";"20 | 40";"30 | 20";"57 | 53";"70 | 80";"80 | 60";"50 | 60";"0x1 | 1x1";"24.8";"1.3 | 1.3";"1 | 0.8";"2.2";"55 | 47";"";"10 | 10";"14.5 | 9.9";"10.5 | 14.6";"7.4";"3.8 | 3.7";"3.7 | 3.7";"2.4 | 2.6";"3.2 | 2.8";"5.5";"5.4"
"Brazil";"BRA";"Serie B";"06-07-2026 19:00";"NS";"Botafogo SP";"";"";"Avaí";"";"";"74 | 52";"24 | 44";"";"52 | 41";"1 | 1";"43 | 38";"12.4 | 5.6";"8";"12 | 50";"38";"20 | 30";"40 | 10";"40 | 60";"33 | 33";"60 | 40";"60 | 90";"80 | 70";"0x1 | 2x1";"24.6";"0.7 | 1.3";"0.9 | 1.5";"2.2";"51 | 49";"";"10 | 10";"12.1 | 8.6";"11.9 | 16.6";"7.9";"3.3 | 5.6";"3.8 | 3.1";"2.8 | 2.3";"3.1 | 2.1";"5.2";"5.4"
"Brazil";"BRA";"Copa do Brasil Feminino";"06-07-2026 15:00";"CANCELLED";"Mauaense W";"";"";"São Paulo W";"";"";"56 | 80";"51 | 58";"";"42 | 55";"1.1 | 2.2";"42 | 52";"5.1 | 8.2";"";"";"";"30 | 70";"20 | 10";"50 | 20";"37 | 73";"50 | 80";"80 | 90";"70 | 30";"0x1 | 1x2";"23.2";"1.5 | 1.7";"1.4 | 0.7";"2.6";"48 | 54";"";"10 | 10";"7.6 | 14.4";"15.4 | 9";"9.2";"6 | 3.9";"3.2 | 5.3";"2.7 | 1.8";"3 | 1.8";"4.6";"4.6"
"Sweden";"SWE";"Allsvenskan";"06-07-2026 14:00";"NS";"Brommapojkarna";"";"";"GAIS";"3.20";"2.12";"49 | 70";"51 | 54";"5";"43 | 55";"1.5 | 1.5";"38 | 51";"5.5 | 6.2";"10";"30 | 50";"20";"40 | 40";"30 | 30";"30 | 30";"50 | 50";"70 | 70";"70 | 70";"60 | 60";"2x2 | 2x1";"25.9";"1.5 | 1.6";"1.6 | 1";"2.8";"46 | 51";"";"10 | 10";"11.6 | 14.4";"14.7 | 11.1";"8.6";"4.5 | 3.5";"4.4 | 4.8";"1.8 | 2.1";"1.2 | 1.6";"3.4";"3.7"
"Sweden";"SWE";"Allsvenskan";"06-07-2026 14:00";"NS";"Häcken";"";"";"Djurgården";"2.44";"2.54";"49 | 52";"65 | 78";"5";"47 | 59";"1.9 | 1.6";"43 | 55";"5.1 | 5.2";"10";"30 | 50";"20";"50 | 50";"40 | 10";"10 | 40";"63 | 53";"90 | 60";"60 | 90";"50 | 50";"1x1 | 2x1";"26.8";"1.9 | 2.3";"1.6 | 1.5";"3.6";"49 | 54";"";"10 | 10";"14.1 | 15.9";"13.2 | 10.3";"10.4";"5.6 | 4.1";"5 | 6";"2.6 | 1.4";"2 | 2.3";"4.2";"3.7"
"Uruguay";"URU";"Segunda Division";"06-07-2026 18:00";"NS";"Miramar Misiones";"";"";"Atenas";"";"";"66 | 66";"48 | 61";"";"49 | 48";"1.4 | 2.1";"45 | 48";"5.6 | 5.5";"10";"30 | 20";"50";"30 | 70";"50 | 0";"20 | 30";"47 | 70";"80 | 70";"50 | 100";"70 | 30";"1x1 | 1x2";"17";"1.4 | 1.8";"1.1 | 1.1";"2.7";"49 | 49";"";"10 | 10";"7.8 | 9.9";"7.6 | 8.8";"6.7";"2.8 | 2.6";"3.4 | 4.6";"3.2 | 2.6";"3.7 | 3.1";"6.3";"6.8"
"Chile";"CHI";"Chilean Cup";"06-07-2026 20:30";"NS";"Colo-Colo";"";"";"Recoleta";"";"";"70 | 52";"92 | 31";"";"60 | 47";"2.4 | 0.8";"66 | 55";"5.2 | 11.7";"";"";"";"80 | 10";"0 | 50";"20 | 40";"80 | 27";"80 | 60";"100 | 50";"20 | 90";"3x0 | 1x1";"25";"2.7 | 0.9";"1 | 1.5";"3";"58 | 52";"";"10 | 10";"17.6 | 10.5";"8.7 | 13.2";"9.6";"2.2 | 5.1";"7.8 | 4";"1.6 | 2.5";"1.7 | 3.3";"4.6";"4.5"
"Chile";"CHI";"Chilean Cup";"06-07-2026 20:30";"NS";"Concepcion";"";"";"Deportes Temuco";"";"";"46 | 66";"41 | 48";"";"50 | 52";"1 | 1.4";"54 | 66";"9.9 | 10.2";"10";"10 | 60";"30";"30 | 40";"10 | 20";"60 | 40";"33 | 47";"40 | 60";"90 | 80";"70 | 60";"0x2 | 1x0";"27.8";"1.2 | 1.4";"1.7 | 1.1";"2.7";"52 | 49";"";"10 | 10";"14.4 | 14.3";"12.1 | 14.8";"10.4";"4.5 | 6";"4.8 | 5.6";"2.4 | 1.9";"2.7 | 2.1";"4.6";"4.5"
