"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Result Home HT";"Result Visitor HT";"Casa";"Fora";"Casa";"Fora";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Casa";"Fora";"Casa";"Fora"
"World";"WOR";"World Cup";"28-06-2026 16:00";"NS";"South Africa";"";"";"Canada";"";"";"2.2";"2.4";"1.8";"2.2";"4.3";"2.6";"85";"60";"35";"25";"2.4";"3.8";"1.6";"1.9";"2";"2.1"
"Brazil";"BRA";"Serie B";"28-06-2026 16:00";"NS";"Juventude";"";"";"Ceará";"";"";"2.2";"2.8";"2.8";"2.4";"5.1";"5.5";"90";"85";"65";"40";"5.1";"4.6";"2.4";"2.2";"2.2";"2.3"
"Brazil";"BRA";"Serie B";"28-06-2026 16:00";"NS";"Atlético GO";"";"";"Ponte Preta";"";"";"2.6";"3.7";"2.2";"2";"5.2";"5.5";"85";"75";"70";"55";"5.1";"4.8";"2.2";"1.8";"2.4";"3.2"
"Brazil";"BRA";"Serie B";"28-06-2026 16:00";"NS";"Athletic Club";"";"";"Avaí";"";"";"2.5";"2.5";"2.2";"2.4";"4.8";"5.5";"90";"80";"60";"35";"5.1";"4.4";"2.2";"2.4";"2.1";"2.2"
"Brazil";"BRA";"Serie B";"28-06-2026 18:30";"NS";"Náutico";"";"";"Goiás";"";"";"2.5";"2.7";"3.6";"2.7";"5.8";"5.5";"100";"95";"60";"55";"5.1";"5.4";"3.2";"2.5";"2.5";"2.5"
"Brazil";"BRA";"Serie B";"28-06-2026 18:30";"NS";"Fortaleza";"";"";"Sport Recife";"";"";"2.9";"2.7";"2.4";"2.9";"5.4";"5.5";"90";"80";"65";"60";"5.1";"5.1";"2.4";"2.7";"2.5";"2.6"
"China";"CHN";"League One";"28-06-2026 08:00";"FT";"Suzhou Dongwu";"1";"2";"Shanghai Jiading Huilong";"0";"2";"1.8";"1.4";"2.1";"1";"3.2";"3.8";"60";"30";"20";"15";"3.7";"3.1";"2.1";"0.9";"1.8";"1.4"
"China";"CHN";"League One";"28-06-2026 09:00";"FT";"Jiangxi Dingnan United";"3";"3";"Wuxi Wugou";"2";"2";"1.7";"1.9";"1.1";"1.7";"3.2";"3.8";"70";"40";"25";"15";"3.7";"3.1";"1.1";"1.6";"1.7";"1.8"
"Finland";"FIN";"Ykkönen";"28-06-2026 10:00";"INPLAY_2ND_HALF";"KPV";"1";"1";"PKKU";"0";"0";"1.5";"2.2";"0.9";"2.6";"3.6";"3.9";"60";"55";"40";"30";"3.7";"3.2";"0.8";"2.2";"1.4";"2.1"
"Finland";"FIN";"Ykkönen";"28-06-2026 12:30";"NS";"OLS";"";"";"KuPS Ak.";"";"";"1.4";"1.6";"2";"2.1";"3.6";"3.9";"74";"58";"26";"21";"3.7";"3.4";"1.9";"1.9";"1.4";"1.6"
"Morocco";"MAR";"Botola Pro";"28-06-2026 14:00";"NS";"Hassania Agadir";"";"";"CR Khemis Zemamra";"";"";"2.6";"1.3";"2";"2.9";"4.4";"5.1";"95";"74";"47";"20";"4.7";"4.2";"1.8";"2.8";"2.4";"1.3"
"Morocco";"MAR";"Botola Pro";"28-06-2026 14:00";"NS";"FUS Rabat";"";"";"RSB Berkane";"";"";"3";"2.5";"2.4";"3";"5.4";"5.1";"95";"85";"47";"36";"4.7";"5.2";"2.3";"2.8";"3";"2.4"
"Morocco";"MAR";"Botola Pro";"28-06-2026 14:00";"NS";"Maghreb Fès";"";"";"Yacoub El Mansour";"";"";"2.9";"2.8";"4.3";"2.7";"6.3";"5.1";"100";"95";"84";"63";"4.7";"6";"3.9";"2.4";"2.8";"2.8"
"Morocco";"MAR";"Botola Pro";"28-06-2026 14:00";"NS";"Wydad Casablanca";"";"";"Olympique Dcheïra";"";"";"2.4";"2.5";"2.4";"2.4";"4.8";"5.1";"90";"80";"55";"40";"4.7";"4.6";"2.3";"2.3";"2.3";"2.4"
"Morocco";"MAR";"Botola Pro";"28-06-2026 14:00";"NS";"FAR Rabat";"";"";"UTS Rabat";"";"";"1.9";"3.2";"2.7";"2.6";"5.2";"5.1";"90";"75";"50";"40";"4.7";"5";"2.7";"2.4";"1.8";"3.1"
"Morocco";"MAR";"Botola Pro";"28-06-2026 14:00";"NS";"Ittihad Tanger";"";"";"Raja Casablanca";"";"";"2.8";"3.6";"2.4";"2.8";"5.8";"5.1";"94";"89";"72";"56";"4.7";"5.4";"2.2";"2.6";"2.8";"3.2"
