"Country ";"Short";"League ";"Season";"Active";"matches playeds";"Matches total";"With stats";"Home Wins";"Draws";"Away Wins"
"World";"WOR";"World Cup";"2026";"true";"0";"104";"0";"-1";"-1";"-1"
"World";"WOR";"FIFA Club World Cup";"2025";"true";"63";"63";"63";"48";"25";"27"
"South America";"SOU";"Copa America";"2024";"true";"32";"32";"32";"44";"31";"25"
"Europe";"EUR";"Euro Qualification";"2024";"true";"239";"239";"239";"46";"19";"35"
"Europe";"EUR";"Champions League";"2025/2026";"true";"281";"281";"281";"50";"19";"31"
"England";"ENG";"Premier League";"2025/2026";"true";"380";"380";"380";"43";"27";"30"
"Spain";"ESP";"La Liga";"2025/2026";"true";"380";"380";"380";"49";"24";"27"
"Italy";"ITA";"Serie A";"2025/2026";"true";"380";"380";"380";"39";"26";"35"
"Germany";"GER";"Bundesliga";"2025/2026";"true";"306";"306";"306";"44";"25";"32"
"South America";"SOU";"Copa Libertadores";"2026";"true";"125";"142";"125";"50";"22";"29"
"Brazil";"BRA";"Serie A";"2026";"true";"177";"380";"177";"49";"27";"24"
"Europe";"EUR";"Europa League";"2025/2026";"true";"271";"271";"271";"48";"20";"32"
"France";"FRA";"Ligue 1";"2025/2026";"true";"305";"306";"305";"46";"24";"30"
"Netherlands";"NED";"Eredivisie";"2025/2026";"true";"309";"309";"309";"45";"26";"29"
"Portugal";"POR";"Liga Portugal";"2025/2026";"true";"306";"306";"306";"41";"27";"32"
"South America";"SOU";"Copa Sudamericana";"2026";"true";"112";"144";"112";"42";"35";"23"
"World";"WOR";"Friendly International";"2026";"true";"182";"289";"182";"48";"26";"26"
"Europe";"EUR";"Europa Conference League";"2025/2026";"true";"409";"409";"409";"48";"22";"30"
"Belgium";"BEL";"Pro League";"2025/2026";"true";"313";"313";"313";"41";"26";"34"
"Argentina";"ARG";"Liga Profesional de Fútbol";"2026";"true";"255";"495";"255";"41";"32";"27"
"Brazil";"BRA";"Serie B";"2026";"true";"110";"384";"110";"37";"33";"30"
"Brazil";"BRA";"Copa do Brasil";"2026";"true";"126";"142";"126";"44";"31";"25"
"Croatia";"CRO";"1. HNL";"2025/2026";"true";"180";"180";"180";"46";"26";"28"
"Denmark";"DEN";"Superliga";"2025/2026";"true";"193";"193";"193";"41";"24";"35"
"England";"ENG";"Championship";"2025/2026";"true";"558";"558";"558";"42";"27";"32"
"Spain";"ESP";"La Liga 2";"2025/2026";"true";"462";"466";"462";"45";"25";"30"
"France";"FRA";"Ligue 2";"2025/2026";"true";"307";"308";"307";"37";"31";"32"
"Germany";"GER";"2. Bundesliga";"2025/2026";"true";"306";"306";"306";"46";"24";"30"
"Greece";"GRE";"Super League";"2025/2026";"true";"236";"236";"236";"41";"28";"31"
"Italy";"ITA";"Serie B";"2025/2026";"true";"390";"390";"390";"45";"31";"24"
"Saudi Arabia";"KSA";"Pro League";"2025/2026";"true";"306";"306";"306";"44";"23";"33"
"Netherlands";"NED";"Eerste Divisie";"2025/2026";"true";"380";"380";"380";"43";"22";"36"
"Norway";"NOR";"Eliteserien";"2026";"true";"89";"240";"89";"54";"20";"26"
"Romania";"ROU";"Superliga";"2025/2026";"true";"317";"317";"317";"44";"27";"28"
"Turkey";"TUR";"Super Lig";"2025/2026";"true";"306";"306";"306";"42";"29";"29"
"Brazil";"BRA";"Serie C";"2026";"true";"90";"214";"90";"48";"26";"27"
"Brazil";"BRA";"Copa do Nordeste";"2026";"true";"59";"60";"59";"46";"27";"27"
"Brazil";"BRA";"Carioca Serie A";"2026";"true";"62";"62";"62";"44";"26";"31"
"Brazil";"BRA";"Mineiro 1";"2026";"true";"59";"59";"59";"27";"31";"42"
"Brazil";"BRA";"Paulista A1";"2026";"true";"72";"72";"72";"47";"22";"31"
