"Country ";"Short";"League ";"Season";"Active";"matches playeds";"Matches total";"With stats";"+2.5";"+3.5";"+4.5";"+5.5"
"World";"WOR";"World Cup";"2026";"true";"0";"104";"0";"-1";"-1";"-1";"-1"
"World";"WOR";"FIFA Club World Cup";"2025";"true";"63";"63";"63";"70";"51";"30";"21"
"South America";"SOU";"Copa America";"2024";"true";"32";"32";"32";"81";"62";"38";"25"
"Europe";"EUR";"Euro Qualification";"2024";"true";"239";"239";"239";"75";"60";"42";"30"
"Europe";"EUR";"Champions League";"2025/2026";"true";"281";"281";"281";"70";"52";"39";"23"
"England";"ENG";"Premier League";"2025/2026";"true";"380";"380";"380";"72";"57";"38";"21"
"Spain";"ESP";"La Liga";"2025/2026";"true";"380";"380";"380";"81";"62";"45";"31"
"Italy";"ITA";"Serie A";"2025/2026";"true";"380";"380";"380";"76";"54";"33";"18"
"Germany";"GER";"Bundesliga";"2025/2026";"true";"306";"306";"306";"72";"53";"35";"19"
"South America";"SOU";"Copa Libertadores";"2026";"true";"125";"142";"125";"86";"74";"50";"36"
"Brazil";"BRA";"Serie A";"2026";"true";"177";"380";"177";"87";"75";"56";"38"
"Europe";"EUR";"Europa League";"2025/2026";"true";"271";"271";"271";"78";"59";"44";"28"
"France";"FRA";"Ligue 1";"2025/2026";"true";"305";"306";"305";"76";"56";"35";"17"
"Netherlands";"NED";"Eredivisie";"2025/2026";"true";"309";"309";"309";"65";"39";"25";"14"
"Portugal";"POR";"Liga Portugal";"2025/2026";"true";"306";"306";"306";"85";"71";"57";"35"
"South America";"SOU";"Copa Sudamericana";"2026";"true";"112";"144";"112";"89";"75";"57";"38"
"World";"WOR";"Friendly International";"2026";"true";"182";"289";"164";"52";"38";"21";"11"
"Europe";"EUR";"Europa Conference League";"2025/2026";"true";"409";"409";"409";"82";"67";"49";"36"
"Belgium";"BEL";"Pro League";"2025/2026";"true";"313";"313";"313";"73";"53";"39";"22"
"Argentina";"ARG";"Liga Profesional de Fútbol";"2026";"true";"255";"495";"255";"91";"77";"58";"42"
