"Country ";"Short";"League ";"Season";"Active";"matches playeds";"Matches total";"With stats";"+7.5";"+8.5";"+9.5";"+10.5";"+11.5"
"World";"WOR";"World Cup";"2026";"true";"0";"104";"0";"-1";"-1";"-1";"-1";"-1"
"World";"WOR";"FIFA Club World Cup";"2025";"true";"63";"63";"63";"68";"56";"43";"37";"29"
"South America";"SOU";"Copa America";"2024";"true";"32";"32";"32";"56";"47";"41";"31";"19"
"Europe";"EUR";"Euro Qualification";"2024";"true";"239";"239";"239";"63";"49";"38";"29";"21"
"Europe";"EUR";"Champions League";"2025/2026";"true";"281";"281";"281";"69";"60";"46";"38";"25"
"England";"ENG";"Premier League";"2025/2026";"true";"380";"380";"380";"75";"66";"56";"44";"31"
"Spain";"ESP";"La Liga";"2025/2026";"true";"380";"380";"380";"72";"61";"49";"38";"28"
"Italy";"ITA";"Serie A";"2025/2026";"true";"380";"380";"380";"65";"51";"40";"29";"19"
"Germany";"GER";"Bundesliga";"2025/2026";"true";"306";"306";"306";"73";"62";"52";"38";"31"
"South America";"SOU";"Copa Libertadores";"2026";"true";"125";"142";"125";"64";"50";"43";"33";"22"
"Brazil";"BRA";"Serie A";"2026";"true";"177";"380";"177";"77";"68";"56";"37";"27"
"Europe";"EUR";"Europa League";"2025/2026";"true";"271";"271";"271";"67";"57";"46";"35";"24"
"France";"FRA";"Ligue 1";"2025/2026";"true";"305";"306";"305";"69";"59";"48";"36";"27"
"Netherlands";"NED";"Eredivisie";"2025/2026";"true";"309";"309";"309";"79";"72";"58";"47";"37"
"Portugal";"POR";"Liga Portugal";"2025/2026";"true";"306";"306";"306";"69";"59";"48";"37";"26"
"South America";"SOU";"Copa Sudamericana";"2026";"true";"112";"144";"112";"71";"59";"44";"36";"21"
"World";"WOR";"Friendly International";"2026";"true";"182";"289";"165";"66";"56";"47";"30";"21"
"Europe";"EUR";"Europa Conference League";"2025/2026";"true";"409";"409";"409";"70";"60";"47";"34";"25"
"Belgium";"BEL";"Pro League";"2025/2026";"true";"313";"313";"313";"77";"65";"57";"45";"32"
"Argentina";"ARG";"Liga Profesional de Fútbol";"2026";"true";"255";"495";"255";"61";"51";"37";"29";"17"
"Brazil";"BRA";"Serie B";"2026";"true";"110";"384";"110";"74";"64";"55";"46";"37"
"Brazil";"BRA";"Copa do Brasil";"2026";"true";"126";"142";"126";"71";"59";"52";"40";"29"
"Croatia";"CRO";"1. HNL";"2025/2026";"true";"180";"180";"180";"71";"57";"45";"33";"22"
"Denmark";"DEN";"Superliga";"2025/2026";"true";"193";"193";"193";"72";"64";"53";"41";"27"
"England";"ENG";"Championship";"2025/2026";"true";"558";"558";"558";"79";"68";"55";"44";"35"
"Spain";"ESP";"La Liga 2";"2025/2026";"true";"462";"466";"462";"70";"58";"47";"36";"27"
"France";"FRA";"Ligue 2";"2025/2026";"true";"307";"308";"307";"71";"57";"44";"33";"21"
"Germany";"GER";"2. Bundesliga";"2025/2026";"true";"306";"306";"306";"76";"65";"53";"40";"29"
"Greece";"GRE";"Super League";"2025/2026";"true";"236";"236";"236";"62";"50";"40";"29";"19"
"Italy";"ITA";"Serie B";"2025/2026";"true";"390";"390";"390";"72";"59";"49";"37";"27"
"Saudi Arabia";"KSA";"Pro League";"2025/2026";"true";"306";"306";"306";"79";"66";"52";"43";"31"
"Netherlands";"NED";"Eerste Divisie";"2025/2026";"true";"380";"380";"380";"84";"74";"64";"53";"39"
"Norway";"NOR";"Eliteserien";"2026";"true";"89";"240";"89";"79";"70";"58";"47";"37"
"Romania";"ROU";"Superliga";"2025/2026";"true";"317";"317";"317";"74";"63";"47";"38";"28"
"Turkey";"TUR";"Super Lig";"2025/2026";"true";"306";"306";"306";"69";"57";"47";"37";"24"
"Brazil";"BRA";"Serie C";"2026";"true";"90";"214";"90";"81";"69";"63";"51";"31"
"Brazil";"BRA";"Copa do Nordeste";"2026";"true";"59";"60";"58";"71";"62";"50";"36";"28"
"Brazil";"BRA";"Carioca Serie A";"2026";"true";"62";"62";"62";"74";"65";"53";"44";"31"
"Brazil";"BRA";"Mineiro 1";"2026";"true";"59";"59";"59";"68";"56";"49";"44";"34"
"Brazil";"BRA";"Paulista A1";"2026";"true";"72";"72";"72";"85";"69";"61";"53";"40"
"China";"CHN";"Super League";"2026";"true";"0";"0";"0";"-1";"-1";"-1";"-1";"-1"
"Finland";"FIN";"Veikkausliiga";"2026";"true";"0";"0";"0";"-1";"-1";"-1";"-1";"-1"
"Chile";"CHI";"Copa Chile";"2026";"true";"0";"0";"0";"-1";"-1";"-1";"-1";"-1"
"Ecuador";"ECU";"Liga Pro Serie A";"2026";"true";"0";"0";"0";"-1";"-1";"-1";"-1";"-1"
